series_id,series_name,hit,imdb,series_image_url
260051,ایمی بردلی گم شده است,0,6.7,https://www.namava.ir/Content/Upload/Images/139cd8a7-dcb3-4315-ac0a-171e698dfbc2.jpg
258994,موسیقی متن فیلم نگهبانان قدیمی ۲,0,5.1,https://www.namava.ir/Content/Upload/Images/cd32471c-e0c3-4d3b-8a62-dec5e6537b30.jpg
258520,کوکائین در آسمان: قاچاقچی ها در ارتفاع ۳۰۰۰۰ فوتی,0,6.5,https://www.namava.ir/Content/Upload/Images/56eba2b8-0c49-4bc9-abb6-8a197a0da645.jpg
260570,نوار کاست,0,7.6,https://www.namava.ir/Content/Upload/Images/c33bd8eb-0240-4d3e-9f7f-9709df6521de.jpg
260605,پروانه,91,6.8,https://www.namava.ir/Content/Upload/Images/8b223872-11c6-4caf-955b-6bc4067325fd.jpg
257019,قصر تسخیر شده,93,7.8,https://www.namava.ir/Content/Upload/Images/460142f8-8c77-4d00-a27a-ef3b7a07ef2f.jpg
259622,بیگانه: زمین,82,7.6,https://www.namava.ir/Content/Upload/Images/0981b62e-d510-4f6f-9018-153c8c27d7e8.jpg
256566,پادشاه گرگ ها,84,6.6,https://www.namava.ir/Content/Upload/Images/26133517-dd1e-4018-84eb-284417a966ba.jpg
258605,اودیسه,81,7,https://www.namava.ir/Content/Upload/Images/1a64f5d1-ceb5-4d11-9bf0-1cfd3e979eb8.jpg
260299,غریبه: هم خون من,91,8.3,https://www.namava.ir/Content/Upload/Images/28e24a90-ee05-4279-a8a7-3b735c3ef69c.jpg
260390,راه و روش آقای بوک,86,7,https://www.namava.ir/Content/Upload/Images/10811a1a-43ab-421e-bf7e-34ad1e2169ea.jpg
255180,آینده زمین,0,7.5,https://www.namava.ir/Content/Upload/Images/b89b162f-3107-4c7b-8d15-a71826e2bc8f.jpg
258768,دره مرگ,0,6.9,https://www.namava.ir/Content/Upload/Images/a0e52754-dea3-42b8-95cb-1d8d45ec90db.jpg
259509,راه رفتن با دایناسورها,0,5.9,https://www.namava.ir/Content/Upload/Images/a77cc727-a101-4e9e-954a-784f55227300.jpg
253458,زندان آز,0,8.7,https://www.namava.ir/Content/Upload/Images/0dc09ebb-ad1a-423f-9459-8fd1d36880e4.jpg
256592,جادوگر,80,7.1,https://www.namava.ir/Content/Upload/Images/30036f83-562f-4afb-9050-faf0ff7b7917.jpg
258471,اسکله,0,7,https://www.namava.ir/Content/Upload/Images/45f9b131-1ae8-4c14-b7b8-c69ff4991b21.jpg
258684,غذاخوری هو,92,6.5,https://www.namava.ir/Content/Upload/Images/91188b40-bba6-4ecf-8331-22afc8e9092f.jpg
259932,آدمکش,88,6.3,https://www.namava.ir/Content/Upload/Images/c934e1c6-41ce-4b80-8267-81c3a2b3be12.jpg
259971,ماشه,87,7.2,https://www.namava.ir/Content/Upload/Images/c729afc0-3a87-4937-a5f8-4a95b297bfdf.jpg
258158,سارا: زنی در سایه ها,0,6.2,https://www.namava.ir/Content/Upload/Images/311f491f-be9e-42e5-b175-115622b3aeaf.jpg
259840,ماجراهای مورچه فافا,77,None,https://www.namava.ir/Content/Upload/Images/c3ec7ee5-fd16-4876-8632-0ca6f93bc991.jpg
258174,حرکات قدرتی با شکیل اونیل,0,6.8,https://www.namava.ir/Content/Upload/Images/0d6cae74-f222-40d5-84fa-03a9fff598b6.jpg
258187,جنگ ستارگان: روایت هایی از دنیای زیرین,0,7.1,https://www.namava.ir/Content/Upload/Images/73e5849f-ac15-4274-96e3-3bbe9bc6f030.jpg
250902,وقتی ستاره ها نجوا می کنند,77,6.5,https://www.namava.ir/Content/Upload/Images/1f143850-3197-41ff-bf28-5a40faf65f49.jpg
253074,روزهای گردش سگ ها,68,6,https://www.namava.ir/Content/Upload/Images/75c00386-632a-4c48-87dc-ee32174a582a.jpg
258650,متصدی کفن و دفن,0,7.1,https://www.namava.ir/Content/Upload/Images/3a44c9e6-247d-4b77-8582-26d94df62619.jpg
259453,بی وقفه,90,7.2,https://www.namava.ir/Content/Upload/Images/a05f3f1d-9c2d-4589-9181-6ee94de11924.jpg
258341,پرونده قدیمی: قتل های تایلنول,0,6.5,https://www.namava.ir/Content/Upload/Images/fd6b108b-aa71-4c92-9366-1dd49fd61436.jpg
251155,ساحل کانگورو,61,7.3,https://www.namava.ir/Content/Upload/Images/24775125-de72-474f-928b-9de71ca6b388.jpg
258997,آزمایشگاه,81,6.8,https://www.namava.ir/Content/Upload/Images/e7b1239b-88e0-4dac-b7e7-5995401f37dc.jpg
259667,واشینگتن سیاهپوست ها,0,6.2,https://www.namava.ir/Content/Upload/Images/c8e3ee1f-543c-4a6e-ab0e-ea9a76d27cc5.jpg
259517,شب زنده داری گربه های زنده,81,6.5,https://www.namava.ir/Content/Upload/Images/78c52f47-72fa-400e-a109-dbfa82064bc8.jpg
